,entity,id,start,end,sent_context,full_context
0,Россия,"['Q151469', 'Q211511', 'Q34266']",0,6,"Россия заявила, что её истребитель перехватил два наблюдательных американских самолета в Чёрном море, что стало новым сближением в воздухе между силами США, НАТО и России","Россия заявила, что её истребитель перехватил два наблюдательных американских самолета в Чёрном море, что стало новым сближением в воздухе между силами США, НАТО и России. Представители военных сообщили ТАСС в среду, что самолёт Су-27 встретил американские самолеты в международных водах Чёрного моря. «Экипаж российского истребителя последовательно приблизился на безопасное расстояние к воздушным объектам и идентифицировал их как стратегический самолет-разведчик RC-135 ВВС США и самолет базовой патрульной авиации Р-8А Poseidon ВМС США», — заявило министерство обороны. Представители США и НАТО пока не прокомментировали инцидент, но гражданские сайты радиолокационного сопровождения показали, что американские самолёты в среду находились в районе Чёрного моря, недалеко от украинского Крыма."
1,Чёрном море,-1,89,100,"Россия заявила, что её истребитель перехватил два наблюдательных американских самолета в Чёрном море, что стало новым сближением в воздухе между силами США, НАТО и России","Россия заявила, что её истребитель перехватил два наблюдательных американских самолета в Чёрном море, что стало новым сближением в воздухе между силами США, НАТО и России. Представители военных сообщили ТАСС в среду, что самолёт Су-27 встретил американские самолеты в международных водах Чёрного моря. «Экипаж российского истребителя последовательно приблизился на безопасное расстояние к воздушным объектам и идентифицировал их как стратегический самолет-разведчик RC-135 ВВС США и самолет базовой патрульной авиации Р-8А Poseidon ВМС США», — заявило министерство обороны. Представители США и НАТО пока не прокомментировали инцидент, но гражданские сайты радиолокационного сопровождения показали, что американские самолёты в среду находились в районе Чёрного моря, недалеко от украинского Крыма."
2,США,"['Q4917', 'Q11201', 'Q7217596']",152,155,"Россия заявила, что её истребитель перехватил два наблюдательных американских самолета в Чёрном море, что стало новым сближением в воздухе между силами США, НАТО и России","Россия заявила, что её истребитель перехватил два наблюдательных американских самолета в Чёрном море, что стало новым сближением в воздухе между силами США, НАТО и России. Представители военных сообщили ТАСС в среду, что самолёт Су-27 встретил американские самолеты в международных водах Чёрного моря. «Экипаж российского истребителя последовательно приблизился на безопасное расстояние к воздушным объектам и идентифицировал их как стратегический самолет-разведчик RC-135 ВВС США и самолет базовой патрульной авиации Р-8А Poseidon ВМС США», — заявило министерство обороны. Представители США и НАТО пока не прокомментировали инцидент, но гражданские сайты радиолокационного сопровождения показали, что американские самолёты в среду находились в районе Чёрного моря, недалеко от украинского Крыма."
3,НАТО,-1,157,161,"Россия заявила, что её истребитель перехватил два наблюдательных американских самолета в Чёрном море, что стало новым сближением в воздухе между силами США, НАТО и России","Россия заявила, что её истребитель перехватил два наблюдательных американских самолета в Чёрном море, что стало новым сближением в воздухе между силами США, НАТО и России. Представители военных сообщили ТАСС в среду, что самолёт Су-27 встретил американские самолеты в международных водах Чёрного моря. «Экипаж российского истребителя последовательно приблизился на безопасное расстояние к воздушным объектам и идентифицировал их как стратегический самолет-разведчик RC-135 ВВС США и самолет базовой патрульной авиации Р-8А Poseidon ВМС США», — заявило министерство обороны. Представители США и НАТО пока не прокомментировали инцидент, но гражданские сайты радиолокационного сопровождения показали, что американские самолёты в среду находились в районе Чёрного моря, недалеко от украинского Крыма."
4,России,"['Q151469', 'Q211511', 'Q34266']",164,170,"Россия заявила, что её истребитель перехватил два наблюдательных американских самолета в Чёрном море, что стало новым сближением в воздухе между силами США, НАТО и России","Россия заявила, что её истребитель перехватил два наблюдательных американских самолета в Чёрном море, что стало новым сближением в воздухе между силами США, НАТО и России. Представители военных сообщили ТАСС в среду, что самолёт Су-27 встретил американские самолеты в международных водах Чёрного моря. «Экипаж российского истребителя последовательно приблизился на безопасное расстояние к воздушным объектам и идентифицировал их как стратегический самолет-разведчик RC-135 ВВС США и самолет базовой патрульной авиации Р-8А Poseidon ВМС США», — заявило министерство обороны. Представители США и НАТО пока не прокомментировали инцидент, но гражданские сайты радиолокационного сопровождения показали, что американские самолёты в среду находились в районе Чёрного моря, недалеко от украинского Крыма."
5,ТАСС,-1,31,35,"Представители военных сообщили ТАСС в среду, что самолёт Су-27 встретил американские самолеты в международных водах Чёрного моря","Россия заявила, что её истребитель перехватил два наблюдательных американских самолета в Чёрном море, что стало новым сближением в воздухе между силами США, НАТО и России. Представители военных сообщили ТАСС в среду, что самолёт Су-27 встретил американские самолеты в международных водах Чёрного моря. «Экипаж российского истребителя последовательно приблизился на безопасное расстояние к воздушным объектам и идентифицировал их как стратегический самолет-разведчик RC-135 ВВС США и самолет базовой патрульной авиации Р-8А Poseidon ВМС США», — заявило министерство обороны. Представители США и НАТО пока не прокомментировали инцидент, но гражданские сайты радиолокационного сопровождения показали, что американские самолёты в среду находились в районе Чёрного моря, недалеко от украинского Крыма."
6,Чёрного моря,-1,116,128,"Представители военных сообщили ТАСС в среду, что самолёт Су-27 встретил американские самолеты в международных водах Чёрного моря","Россия заявила, что её истребитель перехватил два наблюдательных американских самолета в Чёрном море, что стало новым сближением в воздухе между силами США, НАТО и России. Представители военных сообщили ТАСС в среду, что самолёт Су-27 встретил американские самолеты в международных водах Чёрного моря. «Экипаж российского истребителя последовательно приблизился на безопасное расстояние к воздушным объектам и идентифицировал их как стратегический самолет-разведчик RC-135 ВВС США и самолет базовой патрульной авиации Р-8А Poseidon ВМС США», — заявило министерство обороны. Представители США и НАТО пока не прокомментировали инцидент, но гражданские сайты радиолокационного сопровождения показали, что американские самолёты в среду находились в районе Чёрного моря, недалеко от украинского Крыма."
7,ВВС,"['Q209833', 'Q921432', 'Q2731483']",171,174,"«Экипаж российского истребителя последовательно приблизился на безопасное расстояние к воздушным объектам и идентифицировал их как стратегический самолет-разведчик RC-135 ВВС США и самолет базовой патрульной авиации Р-8А Poseidon ВМС США», — заявило министерство обороны","Россия заявила, что её истребитель перехватил два наблюдательных американских самолета в Чёрном море, что стало новым сближением в воздухе между силами США, НАТО и России. Представители военных сообщили ТАСС в среду, что самолёт Су-27 встретил американские самолеты в международных водах Чёрного моря. «Экипаж российского истребителя последовательно приблизился на безопасное расстояние к воздушным объектам и идентифицировал их как стратегический самолет-разведчик RC-135 ВВС США и самолет базовой патрульной авиации Р-8А Poseidon ВМС США», — заявило министерство обороны. Представители США и НАТО пока не прокомментировали инцидент, но гражданские сайты радиолокационного сопровождения показали, что американские самолёты в среду находились в районе Чёрного моря, недалеко от украинского Крыма."
8,США,"['Q4917', 'Q11201', 'Q7217596']",175,178,"«Экипаж российского истребителя последовательно приблизился на безопасное расстояние к воздушным объектам и идентифицировал их как стратегический самолет-разведчик RC-135 ВВС США и самолет базовой патрульной авиации Р-8А Poseidon ВМС США», — заявило министерство обороны","Россия заявила, что её истребитель перехватил два наблюдательных американских самолета в Чёрном море, что стало новым сближением в воздухе между силами США, НАТО и России. Представители военных сообщили ТАСС в среду, что самолёт Су-27 встретил американские самолеты в международных водах Чёрного моря. «Экипаж российского истребителя последовательно приблизился на безопасное расстояние к воздушным объектам и идентифицировал их как стратегический самолет-разведчик RC-135 ВВС США и самолет базовой патрульной авиации Р-8А Poseidon ВМС США», — заявило министерство обороны. Представители США и НАТО пока не прокомментировали инцидент, но гражданские сайты радиолокационного сопровождения показали, что американские самолёты в среду находились в районе Чёрного моря, недалеко от украинского Крыма."
9,ВМС,"['Q1086458', 'Q796754', 'Q4508']",230,233,"«Экипаж российского истребителя последовательно приблизился на безопасное расстояние к воздушным объектам и идентифицировал их как стратегический самолет-разведчик RC-135 ВВС США и самолет базовой патрульной авиации Р-8А Poseidon ВМС США», — заявило министерство обороны","Россия заявила, что её истребитель перехватил два наблюдательных американских самолета в Чёрном море, что стало новым сближением в воздухе между силами США, НАТО и России. Представители военных сообщили ТАСС в среду, что самолёт Су-27 встретил американские самолеты в международных водах Чёрного моря. «Экипаж российского истребителя последовательно приблизился на безопасное расстояние к воздушным объектам и идентифицировал их как стратегический самолет-разведчик RC-135 ВВС США и самолет базовой патрульной авиации Р-8А Poseidon ВМС США», — заявило министерство обороны. Представители США и НАТО пока не прокомментировали инцидент, но гражданские сайты радиолокационного сопровождения показали, что американские самолёты в среду находились в районе Чёрного моря, недалеко от украинского Крыма."
